Thana,District,Month,Year,Time,Junction_Type,Traffic_Control,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,Vehicle_Type,Vehicle_Movement,Vehicle_Loading,Vehicle_Defect,Vehicle_Driver_Age,Vehicle_Alcohol,Vehicle_Seat_Belt,Accident_Severity
21,42,3,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,8,6,2,2,33,2,2,1
21,42,3,2001,3,1,4,2,1,1,2,1,1,1,1,5,1,1,14,6,1,2,33,2,2,0
21,42,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,1,2,33,2,2,0
21,42,4,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,1,2,33,2,2,0
14,42,2,2001,3,3,4,2,1,1,1,1,1,1,1,5,1,1,9,6,1,1,23,2,2,0
14,42,3,2001,4,3,4,2,1,1,3,1,1,1,1,5,1,1,14,6,1,2,33,2,2,1
14,42,3,2001,2,1,2,2,1,1,1,1,1,1,1,5,1,1,9,6,1,2,33,2,2,1
2,42,4,2001,3,1,1,1,1,1,1,1,1,1,1,5,1,1,4,6,1,1,33,1,0,1
6,42,1,2001,3,1,1,2,2,1,1,1,1,1,1,5,1,1,9,6,1,2,33,1,2,0
6,42,1,2001,2,1,1,1,1,1,1,1,1,1,1,5,1,1,9,6,1,2,33,1,2,0
9,42,3,2001,3,1,1,2,1,1,2,1,1,1,1,5,1,1,8,6,1,2,33,1,2,0
15,42,1,2001,2,1,1,1,1,1,1,1,1,1,1,5,1,1,8,6,1,1,33,2,2,0
10,42,1,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,1,1,33,2,2,0
10,42,1,2001,3,3,8,2,1,1,1,1,1,1,1,5,1,1,6,6,2,2,25,2,2,1
3,42,5,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,6,5,1,1,33,2,2,3
12,42,3,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,16,6,1,2,33,2,2,0
12,42,4,2001,2,3,4,2,2,1,2,1,1,1,1,5,1,1,14,6,1,2,35,2,2,0
12,42,4,2001,3,3,1,2,2,1,1,1,1,1,1,5,1,1,7,6,1,2,33,1,0,1
16,42,4,2001,2,2,4,2,1,1,1,1,1,1,1,5,1,1,9,6,1,7,33,2,2,0
16,42,4,2001,3,3,5,2,1,1,1,1,1,1,1,5,1,1,6,6,1,1,33,1,2,0
11,42,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,1,2,33,2,2,1
11,42,4,2001,2,1,1,2,1,1,2,1,1,1,1,5,1,1,14,6,1,2,33,2,2,0
16,42,6,2001,4,7,5,2,1,1,3,1,1,1,1,5,1,1,10,6,1,1,33,1,2,1
16,42,6,2001,1,1,5,2,1,1,3,1,1,1,1,5,1,1,9,6,1,7,33,1,2,1
21,42,6,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,1,2,33,1,2,0
1,42,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,8,6,1,1,33,2,2,0
1,42,4,2001,2,3,6,2,1,1,2,1,1,1,1,5,1,1,19,6,1,2,33,2,2,0
1,42,5,2001,2,6,4,2,1,1,1,1,1,1,1,5,1,1,16,1,1,1,33,2,2,1
5,42,6,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,14,7,1,1,33,2,2,1
5,42,6,2001,4,3,4,2,2,1,3,1,1,1,1,5,1,1,14,6,1,2,25,2,2,1
1,42,6,2001,2,2,6,2,1,1,1,1,1,1,1,5,1,1,14,6,2,7,33,2,2,1
14,42,5,2001,2,3,4,2,1,1,1,1,1,1,1,5,1,1,14,6,1,2,33,1,0,0
14,42,6,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,2,7,28,1,2,0
14,42,7,2001,1,3,1,2,1,1,3,1,1,1,1,5,1,1,9,6,2,7,33,1,2,0
12,42,5,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,1,2,33,1,0,0
12,42,7,2001,2,6,4,2,1,1,1,1,1,1,1,5,1,1,9,6,2,7,33,1,2,0
12,42,8,2001,2,1,1,2,1,1,2,1,1,1,1,5,1,1,19,6,1,2,33,1,2,0
17,42,2,2001,3,2,1,2,1,1,2,1,1,1,1,5,1,1,5,6,1,7,33,1,2,1
17,42,7,2001,1,1,1,2,1,1,2,1,1,1,1,5,1,1,8,6,1,2,33,1,2,1
6,42,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,1,2,33,1,2,1
6,42,4,2001,4,1,1,2,2,1,4,1,1,1,1,5,1,1,14,6,1,2,33,1,2,0
6,42,5,2001,5,1,1,2,2,1,1,1,1,1,1,5,1,1,2,6,1,2,33,1,2,0
6,42,6,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,1,2,33,2,2,0
16,42,9,2001,3,2,5,2,1,1,1,1,1,1,1,5,1,1,16,6,1,2,33,1,0,0
16,42,10,2001,2,7,5,2,1,1,2,1,1,1,1,5,1,1,19,6,1,2,33,1,2,1
2,42,5,2001,1,2,4,2,1,1,2,1,1,1,1,5,1,1,14,6,1,7,33,1,2,1
2,42,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,1,7,20,2,2,1
2,42,7,2001,4,1,1,2,1,1,2,1,1,1,1,5,1,1,9,6,1,7,33,1,2,0
21,42,7,2001,1,1,1,2,2,1,4,1,1,1,1,5,1,1,14,6,1,2,33,1,2,1
21,42,8,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,8,6,2,2,33,2,2,0
21,42,9,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,14,6,2,7,33,1,2,1
21,42,9,2001,1,1,1,2,2,1,2,1,1,1,1,5,1,1,14,6,1,7,33,1,2,1
9,42,10,2001,1,1,1,2,1,1,2,1,1,1,1,5,1,1,14,6,1,2,33,1,2,0
14,42,8,2001,2,3,1,2,1,1,1,1,1,1,1,5,1,1,13,6,1,2,33,1,2,0
14,42,8,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,1,2,35,1,2,1
14,42,8,2001,2,3,4,2,1,1,1,1,1,1,1,5,1,1,9,6,1,2,33,1,0,1
14,42,8,2001,3,3,4,2,1,1,1,2,1,1,1,5,1,1,10,6,1,2,33,2,2,1
14,42,9,2001,4,1,4,2,1,1,2,1,1,1,1,5,1,1,14,6,1,2,33,1,2,1
1,42,9,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,10,6,1,2,33,1,2,1
5,42,11,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,14,6,1,7,33,2,2,0
21,42,12,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,14,6,1,2,33,1,2,1
10,42,5,2001,4,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,1,2,33,1,2,1
10,42,8,2001,3,3,6,2,1,1,1,1,1,1,1,5,1,1,8,6,1,2,33,2,2,0
10,42,9,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,10,6,1,2,33,1,2,1
