Thana,District,Accident_Severity,Month,Year,Time,Junction_Type,Traffic_Control,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,Vehicle_Type,Vehicle_Movement,Vehicle_Loading,Vehicle_Defect,Vehicle_Driver_Age,Vehicle_Alcohol,Vehicle_Seat_Belt
14,42,4,2,2001,3,3,4,2,1,1,1,1,1,1,1,5,1,1,9,6,1,1,23,2,2
14,42,3,3,2001,4,3,4,2,1,1,3,1,1,1,1,5,1,1,14,6,,,,2,2
14,42,3,3,2001,2,1,,2,1,1,1,1,1,1,1,5,1,1,9,6,,,,2,2
2,42,3,4,2001,3,1,1,1,1,1,1,1,1,1,1,5,1,1,4,6,1,1,,,
6,42,4,1,2001,3,1,1,2,2,1,1,1,1,1,1,5,1,1,9,6,,,,,2
6,42,4,1,2001,2,1,1,1,1,1,1,1,1,1,1,5,1,1,9,6,,,,,2
9,42,4,3,2001,3,1,1,2,1,1,2,1,1,1,1,5,1,1,8,6,1,,,1,2
15,42,4,1,2001,2,1,1,1,1,1,1,1,1,1,1,5,1,1,8,6,1,1,,2,2
10,42,4,1,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,1,1,,2,2
10,42,3,1,2001,3,3,8,2,1,1,1,1,1,1,1,5,1,1,6,6,2,,25,2,2
3,42,1,5,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,6,5,1,1,,2,2
12,42,4,3,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,16,6,,,,2,2
12,42,4,4,2001,2,3,4,2,2,1,2,1,1,1,1,5,1,1,14,6,,,35,2,2
12,42,3,4,2001,3,3,1,2,2,1,1,1,1,1,1,5,1,1,7,6,,,,,
16,42,4,4,2001,2,2,4,2,1,1,1,1,1,1,1,5,1,1,9,6,1,7,,2,2
16,42,4,4,2001,3,3,5,2,1,1,1,1,1,1,1,5,1,1,6,6,1,1,,1,2
11,42,3,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,,,,2,2
11,42,4,4,2001,2,1,1,2,1,1,2,1,1,1,1,5,1,1,14,6,,,,2,2
16,42,3,6,2001,4,7,5,2,1,1,3,1,1,1,1,5,1,1,10,6,1,1,,1,2
16,42,3,6,2001,1,1,5,2,1,1,3,1,1,1,1,5,1,1,9,6,1,7,,1,2
21,42,4,6,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,,,,1,2
1,42,4,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,8,6,1,1,,2,2
1,42,4,4,2001,2,3,6,2,1,1,2,1,1,1,1,5,1,1,19,6,,,,2,2
1,42,3,5,2001,2,6,4,2,1,1,1,1,1,1,1,5,1,1,16,1,1,1,,2,2
5,42,3,6,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,14,7,1,1,,2,2
5,42,3,6,2001,4,3,4,2,2,1,3,1,1,1,1,5,1,1,14,6,,,25,2,2
1,42,3,6,2001,2,2,6,2,1,1,1,1,1,1,1,5,1,1,14,6,2,7,,2,2
14,42,4,5,2001,2,3,4,2,1,1,1,1,1,1,1,5,1,1,14,6,,,,,
14,42,4,6,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,2,7,28,1,2
14,42,4,7,2001,1,3,1,2,1,1,3,1,1,1,1,5,1,1,9,6,2,7,,1,2
12,42,4,5,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,,,,,
12,42,4,7,2001,2,6,4,2,1,1,1,1,1,1,1,5,1,1,9,6,2,7,,,2
12,42,4,8,2001,2,1,1,2,1,1,2,1,1,1,1,5,1,1,19,6,,,,,2
17,42,3,2,2001,3,2,1,2,1,1,2,1,1,1,1,5,1,1,5,6,1,7,,,2
17,42,3,7,2001,1,1,1,2,1,1,2,1,1,1,1,5,1,1,8,6,,,,,2
6,42,3,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,,,,,2
6,42,4,4,2001,4,1,1,2,2,1,4,1,1,1,1,5,1,1,14,,,,,,2
6,42,4,5,2001,,1,1,2,2,1,,1,1,1,1,5,1,1,2,6,,,,,2
6,42,4,6,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,,,,2,2
16,42,4,9,2001,3,,5,2,1,1,1,1,1,1,1,5,1,1,16,6,1,,,,
16,42,3,10,2001,2,7,5,2,1,1,2,1,1,1,1,5,1,1,19,6,,,,1,2
2,42,3,5,2001,1,2,4,2,1,1,2,1,1,1,1,5,1,1,14,6,,7,,,2
2,42,3,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,,7,20,2,2
2,42,4,7,2001,4,1,1,2,1,1,2,1,1,1,1,5,1,1,9,6,1,7,,,2
21,42,3,7,2001,1,1,1,2,2,1,4,1,1,1,1,5,1,1,14,6,,,,,2
21,42,4,8,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,8,6,2,,,2,2
21,42,3,9,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,14,6,2,7,,1,2
21,42,3,9,2001,1,1,1,2,2,1,2,1,1,1,1,5,1,1,14,6,,7,,,2
9,42,4,10,2001,1,1,1,2,1,1,2,1,1,1,1,5,1,1,14,6,,,,,2
14,42,4,8,2001,2,3,1,2,1,1,1,1,1,1,1,5,1,1,13,6,,,,,2
14,42,3,8,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,,2,35,1,2
14,42,3,8,2001,2,3,4,2,1,1,1,1,1,1,1,5,1,1,9,6,,,,,
14,42,3,8,2001,3,3,4,2,1,1,1,2,1,1,1,5,1,1,10,6,1,,,2,2
14,42,3,9,2001,4,1,4,2,1,1,2,1,1,1,1,5,1,1,14,6,,,,1,2
1,42,3,9,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,10,6,,,,,2
5,42,4,11,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,14,6,1,7,,2,2
21,42,3,12,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,14,6,1,,,1,2
10,42,3,5,2001,4,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,,,,,2
