Thana,District,Accident_Severity,Month,Year,Time,Junction_Type,Traffic_Control,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,Vehicle_Type,Vehicle_Movement,Vehicle_Loading,Vehicle_Defect,Vehicle_Driver_Age,Vehicle_Alcohol,Vehicle_Seat_Belt
1,48,F,1,2001,1,1,1,2,2,4,2,1,1,1,1,1,1,2,10,6,1,1,25,2,2
1,50,M,2,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,6,6,1,1, ?,2,2
11,50,F,1,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,2,14,6,1,1, ?,2,2
1,35,S,2,2001,2,1,1,2,2,1,1,2,1,1,1,2,1,2,9,6,1,1, ?,2,2
2,35,G,2,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1,24,2,2
7,38,G,2,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,6,6,1,1, ?,2,2
1,48,S,3,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,6,6,1,1,25,2,2
1,35,S,3,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,10,6,1,1, ?,2,2
1,35,G,3,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,14,6,1,1,39,2,2
1,47,G,3,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,1,14,6,1,1,40,2,2
2,47,F,3,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
2,45,F,3,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,12,6,1,1, ?,2,2
4,44,F,2,2001,1,1,1,2,2,1,4,2,1,1,2,3,1,2,14,6,1,1,30,2,2
6,51,F,3,2001,4,1,1,2,2,1,2,1,1,1,1,3,1,2,6,6,1,1,25,2,2
1,40,F,4,2001,4,1,1,2,2,1,4,2,1,1,1,1,1,2,14,10,1,1, ?,2,2
1,36,G,4,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,2,4,6,1,1, ?,2,2
5,41,F,2,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
5,41,M,3,2001,1,1,1,2,2,1,4,1,1,1,1,1,1,2,7,6,1,1, ?,2,2
1,47,G,4,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,1,9,6,1,1,40,2,2
9,47,G,4,2001,3,1,2,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
12,47,S,4,2001,2,1,1,2,2,1,2,1,1,1,1,1,1,2,14,6,1,1, ?,2,2
1,51,F,3,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,2,9,6,1,1, ?,2,2
4,51,G,4,2001,3,1,1,2,2,1,1,3,1,2,2,1,1,2,14,6,1,1, ?,2,2
8,51,G,3,2001,1,1,2,2,1,1,4,1,1,1,1,2,1,2,14,6,1,1, ?,2,2
3,45,G,4,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,2,6,6,1,1, ?,2,2
1,35,F,4,2001,3,1,1,2,2,1,2,1,1,1,1,2,1,2,9,6,1,1, ?,2,2
6,40,M,5,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,12,6,1,1, ?,2,2
6,40,F,5,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1, ?,2,2
7,40,F,5,2001,3,1,1,2,2,1,1,2,1,1,2,3,1,2,14,6,1,1, ?,2,2
1,44,F,3,2001,3,1,1,2,2,1,1,2,1,1,1,2,1,1,14,6,1,1, ?,2,2
6,44,M,3,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,5,5,1,1, ?,2,2
1,50,F,5,2001,4,1,1,2,2,1,3,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
1,47,F,5,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2, ?,6,1,1, ?,2,2
7,47,G,5,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,12,6,1,1, ?,2,2
9,47,F,5,2001,1,1,1,2,2,1,4,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
3,39,F,5,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
2,43,F,5,2001,1,1,1,2,2,2,2,1,1,1,1,1,1,2,12,6,1,1,25,2,2
5,37,F,5,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
1,45,F,5,2001,4,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
3,36,F,5,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,7,6,1,1,21,2,2
1,38,G,5,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,40,2,2
5,38,F,2,2001,2,1,1,2,2,1,1,2,1,2,1,3,1,2,4,6,1,1, ?,2,2
6,38,F,5,2001,1,1,1,2,2,1,4,2,1,1,1,1,1,2,10,10,1,1,30,2,2
1,38,G,6,2001,4,1,1,2,2,1,2,1,1,1,1,3,1,2,6,6,1,1,28,2,2
1,50,G,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,14,5,1,1, ?,2,2
10,50,F,7,2001,4,1,1,2,2,1,3,1,1,1,1,1,1,2,6,6,1,1, ?,2,2
1,40,F,8,2001,3,1,1,2,2,1,1,2,1,1,1,3,1,2,5,6,1,1, ?,2,2
3,40,F,8,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
3,40,F,8,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
1,45,F,6,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,1,8,6,1,1, ?,2,2
2,45,G,6,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1,40,2,2
6,45,G,6,2001,2,1,1,2,2,2,1,1,2,1,1,1,1,2,9,6,1,1, ?,2,2
1,35,G,5,2001,2,1,1,2,2,1,2,2,1,1,1,2,1,2,14,6,1,1,25,2,2
1,35,G,5,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,2,7,6,1,1, ?,2,2
2,35,F,5,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
4,35,S,5,2001,2,1,1,2,2,2,1,1,2,1,1,1,2,2,9,6,1,1, ?,2,2
1,35,F,6,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,9,6,1,1, ?,2,2
1,39,F,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
1,47,F,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,3,2,14,6,1,1, ?,2,2
8,47,G,7,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,10,6,1,1, ?,2,2
8,47,G,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1, ?,2,2
9,47,F,7,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,13,6,1,1, ?,2,2
12,50,F,8,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,1,14,6,1,1,45,2,2
1,43,F,8,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
5,47,G,8,2001,3,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
5,47,G,8,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1,32,2,2
2,45,G,7,2001,4,1,1,2,2,1,2,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
1,35,M,8,2001,2,1,1,2,2,1,1,1,1,1,1,2,1,1,8,6,1,1, ?,2,2
4,35,M,9,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,2,14,6,1,1, ?,2,2
5,41,F,4,2001,1,1,1,2,1,1,4,1,1,1,1,2,1,1,14,6,1,1, ?,2,2
2,35,F,10,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
1,38,F,10,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
1,45,F,10,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,8,6,1,1,25,2,2
2,36,G,10,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,7,6,1,1, ?,2,2
1,38,F,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
1,45,G,11,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
6,45,F,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1, ?,2,2
8,47,F,11,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1, ?,2,2
8,47,F,11,2001,3,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
9,47,F,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
1,38,F,12,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,2,9,6,1,1,45,2,2
1,38,F,12,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
3,38,F,12,2001,2,1,1,2,2,4,1,1,1,1,1,3,1,2,9,6,1,1,35,2,2
6,38,G,12,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,14,6,1,1, ?,2,2
1,36,F,12,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1, ?,2,2
4,36,F,12,2001,2,1,1,2,2,1,1,2,1,1,1,1,1,2,14,6,1,1, ?,2,2
3,39,F,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
3,39,F,11,2001,4,1,1,2,2,1,4,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
4,35,F,10,2001,3,1,1,2,2,1,2,1,1,1,1,2,1,2,9,6,1,1, ?,2,2
1,35,F,12,2001,3,1,1,2,2,1,1,1,1,1,1,2,1,2,9,6,1,1,27,2,2
1,49,F,6,2001,4,1,1,2,2,1,2,1,1,1,1,2,1,2,6,6,1,1, ?,2,2
2,49,F,7,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
3,40,G,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
3,40,G,10,2001,4,1,1,2,2,1,4,2,1,1,1,1,1,2,14,6,1,1, ?,2,2
6,40,G,12,2001,2,1,1,2,2,1,2,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
1,52,F,12,2001,3,1,1,2,2,1,2,1,1,1,1,3,1,2,9,6,1,1, ?,2,2
1,50,F,10,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,8,6,1,1, ?,2,2
1,50,F,11,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,1,9,6,1,1, ?,2,2
1,50,G,11,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,1,14,6,1,1, ?,2,2
9,50,S,11,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,19,6,1,1, ?,2,2
1,50,F,12,2001,4,1,1,2,2,1,3,1,1,1,1,1,1,2,7,6,1,1, ?,2,2
1,50,F,12,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,24,2,2
4,45,G,12,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,8,6,1,1, ?,2,2
3,46,F,5,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
5,46,F,3,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,9,6,1,1, ?,2,2
5,46,M,10,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,7,6,1,1, ?,2,2
6,47,F,12,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1, ?,2,2
7,47,F,12,2001,2,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1, ?,2,2
12,47,F,12,2001,2,1,1,2,2,1,2,1,1,1,1,1,1,1,12,6,1,1, ?,2,2
4,51,M,12,2001,3,1,1,2,2,1,1,3,1,1,2,2,1,2,14,6,1,1, ?,2,2
7,51,G,6,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
9,51,F,5,2001,4,1,1,2,2,1,4,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
2,44,G,4,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,7,6,1,1, ?,2,2
4,44,F,5,2001,2,1,1,2,2,1,2,1,1,1,1,2,1,2,14,6,1,1, ?,2,2
7,44,F,4,2001,3,1,1,2,2,1,2,1,1,1,1,3,1,2,14,6,1,1, ?,2,2
21,42,F,1,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,1,?, ?,2,2
21,42,F,2,2001,4,3,1,2,2,1,3,1,1,1,1,5,1,1,14,6,1,1, ?,2,2
3,42,F,1,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,1,1, ?,2,2
4,42,F,1,2001,2,1,1,1,2,1,1,1,1,1,1,5,1,1,14,6,?,?, ?,?,2
4,42,F,2,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,?,?, ?,2,2
14,42,F,1,2001,4,2,4,2,1,1,3,1,1,1,1,5,1,1,14,6,?,?, ?,1,2
9,42,G,1,2001,3,5,6,2,1,1,1,1,1,1,1,5,1,1,5,6,?,?, ?,2,2
9,42,G,2,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,10,6,?,1,40,2,2
16,42,G,3,2001,4,2,5,1,1,1,3,1,1,1,1,5,1,1,14,6,?,?, ?,2,2
18,42,G,1,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,7,6,?,?, ?,?,2
18,42,G,3,2001,2,1,2,1,1,1,1,1,1,1,1,5,1,1,14,6,?,1,35,2,2
18,42,G,3,2001,4,6,4,2,1,1,3,1,1,1,1,5,1,1,7,6,1,?,25,2,2
21,42,G,3,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,8,6,2,?, ?,2,2
21,42,F,3,2001,3,1,4,2,1,1,2,1,1,1,1,5,1,1,14,6,?,?, ?,2,2
21,42,F,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,?,?, ?,2,2
21,42,F,4,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,?,?, ?,2,2
14,42,F,2,2001,3,3,4,2,1,1,1,1,1,1,1,5,1,1,9,6,1,1,23,2,2
14,42,G,3,2001,4,3,4,2,1,1,3,1,1,1,1,5,1,1,14,6,?,?, ?,2,2
14,42,G,3,2001,2,1,?,2,1,1,1,1,1,1,1,5,1,1,9,6,?,?, ?,2,2
2,42,G,4,2001,3,1,1,1,1,1,1,1,1,1,1,5,1,1,4,6,1,1, ?,?,?
6,42,F,1,2001,3,1,1,2,2,1,1,1,1,1,1,5,1,1,9,6,?,?, ?,?,2
6,42,F,1,2001,2,1,1,1,1,1,1,1,1,1,1,5,1,1,9,6,?,?, ?,?,2
9,42,F,3,2001,3,1,1,2,1,1,2,1,1,1,1,5,1,1,8,6,1,?, ?,1,2
15,42,F,1,2001,2,1,1,1,1,1,1,1,1,1,1,5,1,1,8,6,1,1, ?,2,2
10,42,F,1,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,1,1, ?,2,2
10,42,G,1,2001,3,3,8,2,1,1,1,1,1,1,1,5,1,1,6,6,2,?,25,2,2
3,42,S,5,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,6,5,1,1, ?,2,2
12,42,F,3,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,16,6,?,?, ?,2,2
12,42,F,4,2001,2,3,4,2,2,1,2,1,1,1,1,5,1,1,14,6,?,?,35,2,2
12,42,G,4,2001,3,3,1,2,2,1,1,1,1,1,1,5,1,1,7,6,?,?, ?,?,?
16,42,F,4,2001,2,2,4,2,1,1,1,1,1,1,1,5,1,1,9,6,1,7, ?,2,2
16,42,F,4,2001,3,3,5,2,1,1,1,1,1,1,1,5,1,1,6,6,1,1, ?,1,2
11,42,G,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,?,?, ?,2,2
11,42,F,4,2001,2,1,1,2,1,1,2,1,1,1,1,5,1,1,14,6,?,?, ?,2,2
16,42,G,6,2001,4,7,5,2,1,1,3,1,1,1,1,5,1,1,10,6,1,1, ?,1,2
16,42,G,6,2001,1,1,5,2,1,1,3,1,1,1,1,5,1,1,9,6,1,7, ?,1,2
21,42,F,6,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,?,?, ?,1,2
1,42,F,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,8,6,1,1, ?,2,2
1,42,F,4,2001,2,3,6,2,1,1,2,1,1,1,1,5,1,1,19,6,?,?, ?,2,2
1,42,G,5,2001,2,6,4,2,1,1,1,1,1,1,1,5,1,1,16,1,1,1, ?,2,2
5,42,G,6,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,14,7,1,1, ?,2,2
5,42,G,6,2001,4,3,4,2,2,1,3,1,1,1,1,5,1,1,14,6,?,?,25,2,2
1,42,G,6,2001,2,2,6,2,1,1,1,1,1,1,1,5,1,1,14,6,2,7, ?,2,2
14,42,F,5,2001,2,3,4,2,1,1,1,1,1,1,1,5,1,1,14,6,?,?, ?,?,?
14,42,F,6,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,2,7,28,1,2
14,42,F,7,2001,1,3,1,2,1,1,3,1,1,1,1,5,1,1,9,6,2,7, ?,1,2
12,42,F,5,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,?,?, ?,?,?
12,42,F,7,2001,2,6,4,2,1,1,1,1,1,1,1,5,1,1,9,6,2,7, ?,?,2
12,42,F,8,2001,2,1,1,2,1,1,2,1,1,1,1,5,1,1,19,6,?,?, ?,?,2
17,42,G,2,2001,3,2,1,2,1,1,2,1,1,1,1,5,1,1,5,6,1,7, ?,?,2
17,42,G,7,2001,1,1,1,2,1,1,2,1,1,1,1,5,1,1,8,6,?,?, ?,?,2
6,42,G,3,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,?,?, ?,?,2
6,42,F,4,2001,4,1,1,2,2,1,4,1,1,1,1,5,1,1,14, ?,?,?, ?,?,2
6,42,F,5,2001,?,1,1,2,2,1,?,1,1,1,1,5,1,1,2,6,?,?, ?,?,2
6,42,F,6,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,?,?, ?,2,2
16,42,F,9,2001,3,?,5,2,1,1,1,1,1,1,1,5,1,1,16,6,1,?, ?,?,?
16,42,G,10,2001,2,7,5,2,1,1,2,1,1,1,1,5,1,1,19,6,?,?, ?,1,2
2,42,G,5,2001,1,2,4,2,1,1,2,1,1,1,1,5,1,1,14,6,?,7, ?,?,2
2,42,G,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,?,7,20,2,2
2,42,F,7,2001,4,1,1,2,1,1,2,1,1,1,1,5,1,1,9,6,1,7, ?,?,2
21,42,G,7,2001,1,1,1,2,2,1,4,1,1,1,1,5,1,1,14,6,?,?, ?,?,2
21,42,F,8,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,8,6,2,?, ?,2,2
21,42,G,9,2001,4,1,1,2,2,1,3,1,1,1,1,5,1,1,14,6,2,7, ?,1,2
21,42,G,9,2001,1,1,1,2,2,1,2,1,1,1,1,5,1,1,14,6,?,7, ?,?,2
9,42,F,10,2001,1,1,1,2,1,1,2,1,1,1,1,5,1,1,14,6,?,?, ?,?,2
14,42,F,8,2001,2,3,1,2,1,1,1,1,1,1,1,5,1,1,13,6,?,?, ?,?,2
14,42,G,8,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,?,2,35,1,2
14,42,G,8,2001,2,3,4,2,1,1,1,1,1,1,1,5,1,1,9,6,?,?, ?,?,?
14,42,G,8,2001,3,3,4,2,1,1,1,2,1,1,1,5,1,1,10,6,1,?, ?,2,2
14,42,G,9,2001,4,1,4,2,1,1,2,1,1,1,1,5,1,1,14,6,?,?, ?,1,2
1,42,G,9,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,10,6,?,?, ?,?,2
5,42,F,11,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,14,6,1,7, ?,2,2
21,42,G,12,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,14,6,1,?, ?,1,2
10,42,G,5,2001,4,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,?,?, ?,?,2
10,42,F,8,2001,3,3,6,2,1,1,1,1,1,1,1,5,1,1,8,6,?,?, ?,2,2
10,42,G,9,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,10,6,?,?, ?,?,2
7,42,G,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,2,1, ?,2,2
17,42,F,9,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,7,6,1,?, ?,2,2
17,42,F,11,2001,2,1,1,2,2,1,1,1,1,1,1,5,1,1,10,6,1,1, ?,2,2
17,42,G,12,2001,4,1,1,2,1,1,3,1,1,1,1,5,1,1,9,6,?,?, ?,2,2
11,42,G,6,2001,1,1,1,2,1,1,3,1,1,1,1,5,1,1,14,6,1,1, ?,?,2
11,42,F,6,2001,2,3,2,2,1,1,1,1,1,1,1,5,1,1,8,6,?,?,30,2,2
11,42,F,7,2001,3,5,6,2,1,1,1,1,1,1,1,5,1,1,8,6,1,1, ?,?,2
11,42,F,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,7,6,?,?, ?,?,2
11,42,G,9,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,6,6,?,?, ?,2,2
11,42,G,9,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,19,6,?,?, ?,?,2
11,42,F,10,2001,2,1,1,2,1,1,2,1,1,1,1,5,1,1,14,6,1,1, ?,2,2
11,42,G,11,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,14,6,?,?, ?,?,2
22,42,F,8,2001,3,1,5,2,1,1,1,1,1,1,1,5,1,1,10,6,1,1, ?,?,?
22,42,F,8,2001,4,1,5,1,1,1,3,1,1,1,1,5,1,1,14,6,?,?, ?,?,?
15,42,F,5,2001,3,1,1,2,1,1,1,1,1,1,1,5,1,1,8,6,1,7,28,1,2
4,42,G,6,2001,2,2,8,2,1,1,2,1,1,1,1,5,1,1,8,6,?,?, ?,1,2
4,42,F,7,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,2,?, ?,2,2
4,42,G,8,2001,3,1,8,1,1,1,1,1,1,1,1,5,1,1,9,6,2,?,35,2,2
4,42,G,9,2001,2,1,1,2,1,1,1,1,1,1,1,5,1,1,9,6,?,?, ?,?,2
4,42,F,10,2001,1,1,1,2,2,1,3,1,1,1,1,5,1,1,14,6,2,?, ?,2,2
1,54,F,1,2001,2,1,3,2,2,1,1,1,1,1,1,3,1,2,9,6,1,1,30,2,2
5,54,F,1,2001,3,1,1,2,2,1,1,1,1,3,1,4,1,2,19,4,1,1, ?,2,2
2,54,G,1,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,2,8,6,1,1,38,2,2
7,54,S,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,7,6,1,1,25,2,2
3,54,S,1,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,8,6,1,?, ?,2,2
8,56,F,2,2001,4,7,1,2,2,1,4,2,1,1,1,4,1,2,17,4,1,7, ?,?,?
6,55,F,1,2001,3,3,1,2,2,1,1,1,1,1,1,3,1,2,4,6,1,?, ?,1,2
9,54,F,2,2001,2,1,8,2,2,1,2,1,1,1,1,1,1,2,14,6,1,1, ?,?,?
1,55,S,3,2001,2,1,4,2,2,1,1,1,1,1,1,5,1,1,7,6,1,1,27,2,2
1,55,G,3,2001,3,1,1,2,2,1,1,1,1,1,1,1,1,1,14,6,1,1,35,2,2
8,54,F,3,2001,2,1,1,2,2,1,1,1,1,3,1,4,1,?,19,6,?,?, ?,2,2
1,56,G,4,2001,2,3,1,2,2,1,1,2,1,1,1,5,1,1,17,1,1,1,35,2,2
1,55,F,4,2001,1,2,1,2,2,1,3,1,1,1,1,5,1,1,13,1,1,1,35,1,2
1,54,F,4,2001,3,1,1,2,2,1,1,3,1,1,1,5,1,1,14,5,1,?, ?,2,2
3,53,G,5,2001,4,7,1,2,2,1,2,1,1,1,1,4,1,2,13,6,1,1, ?,?,?
8,56,F,6,2001,2,3,1,2,2,1,1,3,1,1,1,4,1,2,13,6,1,1,32,2,2
9,54,F,6,2001,2,1,1,2,2,1,1,2,1,1,1,1,3,2,14,5,?,?, ?,1,2
13,54,G,6,2001,3,1,1,2,2,2,1,2,2,1,1,3,1,2,14,6,1,1, ?,2,2
12,54,F,7,2001,2,1,1,2,2,1,1,1,1,1,2,1,1,1,8,5,1,1,35,2,2
2,55,F,7,2001,3,7,8,1,2,1,1,3,1,1,1,4,1,1,13,11,1,1,35,2,2
1,55,F,8,2001,2,1,1,2,2,1,1,2,1,1,2,1,1,1,8,6,1,7,30,2,2
1,54,G,8,2001,2,3,1,2,2,1,1,1,1,1,1,1,1,2,13,6,1,1,28,2,2
6,54,G,8,2001,3,1,1,2,2,1,1,1,1,1,1,3,1,2,9,6,?,?, ?,?,?
12,54,F,8,2001,2,1,1,2,2,1,1,1,1,1,1,3,1,2,8,5,?,?, ?,?,?
